源分域,子目录,原路径,字节,首行H1,前3行
第二大脑-10-SaaS,总览,第二大脑-10-SaaS\02-总览\验收门禁.md,275,验收门禁.md,# 验收门禁.md |  | > 本实例通过标准。
第二大脑-10-SaaS,知识,第二大脑-10-SaaS\03-知识\业绩域.md,446,业绩域.md,# 业绩域.md |  | > V1 业绩域业务合同。
第二大脑-10-SaaS,知识,第二大脑-10-SaaS\03-知识\商品域.md,375,商品域.md,# 商品域.md |  | > V1 商品域业务合同。
第二大脑-10-SaaS,知识,第二大脑-10-SaaS\03-知识\寄样域.md,423,寄样域.md,# 寄样域.md |  | > V1 寄样域业务合同。
第二大脑-10-SaaS,知识,第二大脑-10-SaaS\03-知识\抖音上游.md,403,抖音上游.md,# 抖音上游.md |  | > V1 抖音/抖店开放平台对接。
第二大脑-10-SaaS,知识,第二大脑-10-SaaS\03-知识\用户配置域.md,361,用户配置域.md,# 用户配置域.md |  | > V1 用户域 + 配置域业务合同。
第二大脑-10-SaaS,知识,第二大脑-10-SaaS\03-知识\看板分析域.md,333,看板分析域.md,# 看板分析域.md |  | > V1 分析模块业务合同。
第二大脑-10-SaaS,知识,第二大脑-10-SaaS\03-知识\订单域.md,495,订单域.md,# 订单域.md |  | > V1 订单域业务合同。
第二大脑-10-SaaS,知识,第二大脑-10-SaaS\03-知识\达人域.md,353,达人域.md,# 达人域.md |  | > V1 达人域业务合同。
第二大脑-10-SaaS,流程,第二大脑-10-SaaS\04-流程\任务生命周期.md,378,任务生命周期.md,# 任务生命周期.md |  | > 本实例任务从 NEW 到 DONE。
第二大脑-10-SaaS,流程,第二大脑-10-SaaS\04-流程\健康检查.md,341,健康检查流程.md,# 健康检查流程.md |  | > LINT 巡检流程。
第二大脑-10-SaaS,流程,第二大脑-10-SaaS\04-流程\查询回答.md,361,查询回答流程.md,# 查询回答流程.md |  | > 如何基于本实例回答问题。
第二大脑-10-SaaS,流程,第二大脑-10-SaaS\04-流程\资料吸收.md,388,资料吸收流程.md,# 资料吸收流程.md |  | > 新资料如何进入本实例。
第二大脑-10-SaaS,任务,第二大脑-10-SaaS\05-任务\任务-001.md,257,任务-001：第二大脑 50 文件骨架创建,# 任务-001：第二大脑 50 文件骨架创建 |  | ## 任务 ID
第二大脑-10-SaaS,任务,第二大脑-10-SaaS\05-任务\任务-002.md,211,任务-002：项目侧 harness 合规扫描,# 任务-002：项目侧 harness 合规扫描 |  | ## 任务 ID
第二大脑-10-SaaS,任务,第二大脑-10-SaaS\05-任务\任务-003.md,715,任务-003：HARNESS-DOC-GC-OPTIMIZE-003 启动建议,# 任务-003：HARNESS-DOC-GC-OPTIMIZE-003 启动建议 |  | ## 任务 ID
第二大脑-10-SaaS,任务,第二大脑-10-SaaS\05-任务\任务-004.md,243,任务-004：DDD Phase 0 只读审查启动,# 任务-004：DDD Phase 0 只读审查启动 |  | ## 任务 ID
第二大脑-10-SaaS,任务,第二大脑-10-SaaS\05-任务\任务-005.md,206,任务-005：第二大脑 P0 — 旧 LLM Wiki 路径清理,# 任务-005：第二大脑 P0 — 旧 LLM Wiki 路径清理 |  | ## 任务 ID
第二大脑-10-SaaS,任务,第二大脑-10-SaaS\05-任务\任务-006.md,181,任务-006：第二大脑 P0 — 团长 SaaS vs 09-SaaS 收敛,# 任务-006：第二大脑 P0 — 团长 SaaS vs 09-SaaS 收敛 |  | ## 任务 ID
第二大脑-10-SaaS,任务,第二大脑-10-SaaS\05-任务\任务总表.md,407,任务总表.md,# 任务总表.md |  | > 本实例所有任务索引。
第二大脑-10-SaaS,任务,第二大脑-10-SaaS\05-任务\任务模板.md,182,任务模板.md,# 任务模板.md |  | > 写任务时复制。
第二大脑-10-SaaS,任务,第二大脑-10-SaaS\05-任务\任务队列.md,328,任务队列.md,# 任务队列.md |  | > 当前活跃任务队列。
第二大脑-10-SaaS,报告,第二大脑-10-SaaS\06-报告\报告-001.md,288,报告-001：第二大脑 50 文件骨架生成报告,# 报告-001：第二大脑 50 文件骨架生成报告 |  | ## 1. 背景
第二大脑-10-SaaS,报告,第二大脑-10-SaaS\06-报告\报告-002.md,245,报告-002：项目侧 harness 合规扫描报告,# 报告-002：项目侧 harness 合规扫描报告 |  | ## 1. 背景
第二大脑-10-SaaS,报告,第二大脑-10-SaaS\06-报告\报告-003.md,198,报告-003：知识库 3 套并行差异报告,# 报告-003：知识库 3 套并行差异报告 |  | ## 1. 背景
第二大脑-10-SaaS,报告,第二大脑-10-SaaS\06-报告\报告-004.md,250,报告-004：skill 路径映射 patch 报告,# 报告-004：skill 路径映射 patch 报告 |  | ## 1. 背景
第二大脑-10-SaaS,报告,第二大脑-10-SaaS\06-报告\报告-006.md,2908,报告-006：项目侧 harness 5 处违规修复方案,# 报告-006：项目侧 harness 5 处违规修复方案 |  | > 2026-06-12 第 2 轮扫描（项目侧 harness 实际状态）
第二大脑-10-SaaS,报告,第二大脑-10-SaaS\06-报告\报告-007.md,1776,报告-007：vault 9 实例 243 占位整理方案,# 报告-007：vault 9 实例 243 占位整理方案 |  | > 2026-06-12 20:50 扫描
第二大脑-10-SaaS,报告,第二大脑-10-SaaS\06-报告\报告模板.md,127,报告模板.md,# 报告模板.md |  | > 写报告时复制。
第二大脑-10-SaaS,报告,第二大脑-10-SaaS\06-报告\报告索引.md,382,报告索引.md,# 报告索引.md |  | > 本实例所有报告索引。
第二大脑-10-SaaS,模板,第二大脑-10-SaaS\08-模板\资料来源模板.md,131,资料来源模板.md,# 资料来源模板.md |  | > 源记录模板。
第二大脑-10-SaaS,模板,第二大脑-10-SaaS\08-模板\页面模板.md,105,页面模板.md,# 页面模板.md |  | > 普通 wiki 页面模板。
第二大脑-10-SaaS,meta,第二大脑-10-SaaS\AGENTS.md,401,AGENTS.md — 第二大脑-10-SaaS Agent 合同,# AGENTS.md — 第二大脑-10-SaaS Agent 合同 |  | > 本实例 Agent 行为合同。所有 Agent 必读。
第二大脑-10-SaaS,meta,第二大脑-10-SaaS\README.md,360,README.md — 第二大脑-10-SaaS,# README.md — 第二大脑-10-SaaS |  | > 抖音团长 SaaS V1实例说明。
第二大脑-10-SaaS,meta,第二大脑-10-SaaS\日志.md,846,日志.md — 追加式操作日志,# 日志.md — 追加式操作日志 |  | > 每次会话关键动作追加到此处，旧内容不删。
第二大脑-10-SaaS,meta,第二大脑-10-SaaS\索引.md,1548,索引 — 第二大脑-10-SaaS,# 索引 — 第二大脑-10-SaaS |  | > SaaS 项目 实例的总入口。
第二大脑-20-后端,规范,第二大脑-20-后端\00-规范\安全边界.md,279,安全边界.md,# 安全边界.md |  | > 本实例 Agent 禁止操作范围。
第二大脑-20-后端,规范,第二大脑-20-后端\00-规范\结构规范.md,337,结构规范.md,# 结构规范.md |  | > 本实例结构约束来源。
第二大脑-20-后端,规范,第二大脑-20-后端\00-规范\页面规范.md,246,页面规范.md,# 页面规范.md |  | > 本实例页面格式。
第二大脑-20-后端,状态,第二大脑-20-后端\01-状态\已确认决策.md,801,已确认决策.md,# 已确认决策.md |  | > 后端技术实例的决策摘要。
第二大脑-20-后端,状态,第二大脑-20-后端\01-状态\当前状态.md,958,当前状态.md,# 当前状态.md |  | > 后端技术当前真实状态。最后更新：2026-06-12。
第二大脑-20-后端,状态,第二大脑-20-后端\01-状态\待确认问题.md,360,待确认问题.md,# 待确认问题.md |  | > 后端技术实例未决问题。
第二大脑-20-后端,状态,第二大脑-20-后端\01-状态\技术债台账.md,487,技术债台账.md,# 技术债台账.md |  | > 后端技术实例的技术债与遗留。
第二大脑-20-后端,状态,第二大脑-20-后端\01-状态\资料来源.md,1263,资料来源.md,# 资料来源.md |  | > 后端技术实例的源 vault 位置登记。
第二大脑-20-后端,总览,第二大脑-20-后端\02-总览\主要内容.md,1059,主要内容.md,# 主要内容.md |  | > 后端技术实例核心内容速查。
第二大脑-20-后端,总览,第二大脑-20-后端\02-总览\术语表.md,907,术语表.md,# 术语表.md |  | > 后端技术实例统一口径。
第二大脑-20-后端,总览,第二大脑-20-后端\02-总览\来源说明.md,672,来源说明.md,# 来源说明.md |  | > 后端技术实例的所有源 vault 位置 + 状态登记。
第二大脑-20-后端,总览,第二大脑-20-后端\02-总览\环境说明.md,770,环境说明.md,# 环境说明.md |  | > 后端技术实例的运行环境说明。
第二大脑-20-后端,总览,第二大脑-20-后端\02-总览\结构地图.md,910,结构地图.md,# 结构地图.md |  | > 后端技术实例结构关系。
第二大脑-20-后端,总览,第二大脑-20-后端\02-总览\项目概览.md,1062,项目概览.md,# 项目概览.md |  | > 后端技术实例概览。
第二大脑-20-后端,总览,第二大脑-20-后端\02-总览\验收门禁.md,563,验收门禁.md,# 验收门禁.md |  | > 后端技术实例的填充完成标准。
第二大脑-20-后端,知识,第二大脑-20-后端\03-知识\JavaScript体系.md,666,JavaScript体系.md,# JavaScript体系.md |  | > JavaScript 体系。源：`知识库/02-后端知识体系/04-JavaScript体系/` 10 md。
第二大脑-20-后端,知识,第二大脑-20-后端\03-知识\Java体系.md,1876,Java体系.md,# Java体系.md |  | > Java 体系知识入口。源：`知识库/02-后端知识体系/03-Java体系/` 99 md。
第二大脑-20-后端,知识,第二大脑-20-后端\03-知识\Node.js体系.md,536,Node.js体系.md,# Node.js体系.md |  | > Node.js 体系。源：`知识库/02-后端知识体系/04-Node.js体系/` 4 md。
第二大脑-20-后端,知识,第二大脑-20-后端\03-知识\V1项目实践.md,1366,V1项目实践.md,# V1项目实践.md |  | > V1 项目实际使用的后端实践。
第二大脑-20-后端,知识,第二大脑-20-后端\03-知识\数学基础.md,520,数学基础.md,# 数学基础.md |  | > 数学基础。源：`知识库/02-后端知识体系/11-数学基础/` 6 md。
第二大脑-20-后端,知识,第二大脑-20-后端\03-知识\数据库与缓存.md,783,数据库与缓存.md,# 数据库与缓存.md |  | > 数据库与缓存。源：`知识库/02-后端知识体系/08-数据库与缓存/` 2 md。
第二大脑-20-后端,知识,第二大脑-20-后端\03-知识\算法与数据结构.md,549,算法与数据结构.md,# 算法与数据结构.md |  | > 算法与数据结构。源：`知识库/02-后端知识体系/09-算法与数据结构/` 8 md。
第二大脑-20-后端,知识,第二大脑-20-后端\03-知识\系统编程.md,507,系统编程.md,# 系统编程.md |  | > 系统编程 / 操作系统。源：`知识库/02-后端知识体系/05-系统编程/` 10 md。
第二大脑-20-后端,知识,第二大脑-20-后端\03-知识\网络与分布式.md,533,网络与分布式.md,# 网络与分布式.md |  | > 网络与分布式。源：`知识库/02-后端知识体系/06-网络与分布式/` 5 md。
第二大脑-20-后端,知识,第二大脑-20-后端\03-知识\计算机基础.md,819,计算机基础.md,# 计算机基础.md |  | > 计算机基础（含计算机组成 + 编译原理 + 计算机基础理论）。源：
第二大脑-20-后端,流程,第二大脑-20-后端\04-流程\任务生命周期.md,327,任务生命周期.md,# 任务生命周期.md |  | > 本实例任务从 NEW 到 DONE。
第二大脑-20-后端,流程,第二大脑-20-后端\04-流程\健康检查.md,325,健康检查流程.md,# 健康检查流程.md |  | > LINT 巡检流程。
第二大脑-20-后端,流程,第二大脑-20-后端\04-流程\查询回答.md,347,查询回答流程.md,# 查询回答流程.md |  | > 如何基于本实例回答问题。
第二大脑-20-后端,流程,第二大脑-20-后端\04-流程\资料吸收.md,339,资料吸收流程.md,# 资料吸收流程.md |  | > 新资料如何进入本实例。
第二大脑-20-后端,任务,第二大脑-20-后端\05-任务\任务-001.md,169,任务-001.md,# 任务-001.md |  | > 动态任务槽位 1。
第二大脑-20-后端,任务,第二大脑-20-后端\05-任务\任务-002.md,169,任务-002.md,# 任务-002.md |  | > 动态任务槽位 2。
第二大脑-20-后端,任务,第二大脑-20-后端\05-任务\任务-003.md,169,任务-003.md,# 任务-003.md |  | > 动态任务槽位 3。
第二大脑-20-后端,任务,第二大脑-20-后端\05-任务\任务-004.md,169,任务-004.md,# 任务-004.md |  | > 动态任务槽位 4。
第二大脑-20-后端,任务,第二大脑-20-后端\05-任务\任务-005.md,169,任务-005.md,# 任务-005.md |  | > 动态任务槽位 5。
第二大脑-20-后端,任务,第二大脑-20-后端\05-任务\任务-006.md,169,任务-006.md,# 任务-006.md |  | > 动态任务槽位 6。
第二大脑-20-后端,任务,第二大脑-20-后端\05-任务\任务总表.md,300,任务总表.md,# 任务总表.md |  | > 本实例所有任务索引。
第二大脑-20-后端,任务,第二大脑-20-后端\05-任务\任务模板.md,171,任务模板.md,# 任务模板.md |  | > 写任务时复制。
第二大脑-20-后端,任务,第二大脑-20-后端\05-任务\任务队列.md,123,任务队列.md,# 任务队列.md |  | > 当前活跃任务队列。
第二大脑-20-后端,报告,第二大脑-20-后端\06-报告\报告-001.md,168,报告-001.md,# 报告-001.md |  | > 动态报告槽位 1。
第二大脑-20-后端,报告,第二大脑-20-后端\06-报告\报告-002.md,168,报告-002.md,# 报告-002.md |  | > 动态报告槽位 2。
第二大脑-20-后端,报告,第二大脑-20-后端\06-报告\报告-003.md,168,报告-003.md,# 报告-003.md |  | > 动态报告槽位 3。
第二大脑-20-后端,报告,第二大脑-20-后端\06-报告\报告-004.md,168,报告-004.md,# 报告-004.md |  | > 动态报告槽位 4。
第二大脑-20-后端,报告,第二大脑-20-后端\06-报告\报告模板.md,127,报告模板.md,# 报告模板.md |  | > 写报告时复制。
第二大脑-20-后端,报告,第二大脑-20-后端\06-报告\报告索引.md,213,报告索引.md,# 报告索引.md |  | > 本实例所有报告索引。
第二大脑-20-后端,模板,第二大脑-20-后端\08-模板\资料来源模板.md,131,资料来源模板.md,# 资料来源模板.md |  | > 源记录模板。
第二大脑-20-后端,模板,第二大脑-20-后端\08-模板\页面模板.md,105,页面模板.md,# 页面模板.md |  | > 普通 wiki 页面模板。
第二大脑-20-后端,meta,第二大脑-20-后端\AGENTS.md,337,AGENTS.md — 第二大脑-20-后端 Agent 合同,# AGENTS.md — 第二大脑-20-后端 Agent 合同 |  | > 本实例 Agent 行为合同。所有 Agent 必读。
第二大脑-20-后端,meta,第二大脑-20-后端\README.md,354,README.md — 第二大脑-20-后端,# README.md — 第二大脑-20-后端 |  | > 后端技术实例说明。
第二大脑-20-后端,meta,第二大脑-20-后端\日志.md,157,日志.md — 追加式操作日志,# 日志.md — 追加式操作日志 |  | > 每次会话关键动作追加到此处。
第二大脑-20-后端,meta,第二大脑-20-后端\索引.md,1425,索引 — 第二大脑-20-后端,# 索引 — 第二大脑-20-后端 |  | > 后端技术 实例的总入口。
第二大脑-30-地缘,规范,第二大脑-30-地缘\00-规范\安全边界.md,279,安全边界.md,# 安全边界.md |  | > 本实例 Agent 禁止操作范围。
第二大脑-30-地缘,规范,第二大脑-30-地缘\00-规范\结构规范.md,337,结构规范.md,# 结构规范.md |  | > 本实例结构约束来源。
第二大脑-30-地缘,规范,第二大脑-30-地缘\00-规范\页面规范.md,246,页面规范.md,# 页面规范.md |  | > 本实例页面格式。
第二大脑-30-地缘,状态,第二大脑-30-地缘\01-状态\已确认决策.md,303,已确认决策.md,# 已确认决策.md |  | > 地缘政治实例的决策摘要。
第二大脑-30-地缘,状态,第二大脑-30-地缘\01-状态\当前状态.md,590,当前状态.md,# 当前状态.md |  | > 地缘政治实例当前状态。最后更新：2026-06-12。
第二大脑-30-地缘,状态,第二大脑-30-地缘\01-状态\待确认问题.md,267,待确认问题.md,# 待确认问题.md |  | > 地缘政治实例未决问题。
第二大脑-30-地缘,状态,第二大脑-30-地缘\01-状态\技术债台账.md,307,技术债台账.md,# 技术债台账.md |  | > 地缘政治实例技术债与遗留。
第二大脑-30-地缘,状态,第二大脑-30-地缘\01-状态\资料来源.md,588,资料来源.md,# 资料来源.md |  | > 地缘政治实例的源 vault 位置登记。
第二大脑-30-地缘,总览,第二大脑-30-地缘\02-总览\主要内容.md,579,主要内容.md,# 主要内容.md |  | > 地缘政治实例核心内容。
第二大脑-30-地缘,总览,第二大脑-30-地缘\02-总览\术语表.md,766,术语表.md,# 术语表.md |  | > 地缘政治实例统一口径。
第二大脑-30-地缘,总览,第二大脑-30-地缘\02-总览\来源说明.md,242,来源说明.md,# 来源说明.md |  | > 地缘政治实例源位置 + 引用规则。
第二大脑-30-地缘,总览,第二大脑-30-地缘\02-总览\环境说明.md,358,环境说明.md,# 环境说明.md |  | > 地缘政治实例运行环境。
第二大脑-30-地缘,总览,第二大脑-30-地缘\02-总览\结构地图.md,486,结构地图.md,# 结构地图.md |  | > 地缘政治实例结构。
第二大脑-30-地缘,总览,第二大脑-30-地缘\02-总览\项目概览.md,627,项目概览.md,# 项目概览.md |  | > 地缘政治实例概览。
第二大脑-30-地缘,总览,第二大脑-30-地缘\02-总览\验收门禁.md,160,验收门禁.md,# 验收门禁.md |  | > 地缘政治实例填充完成标准。
第二大脑-30-地缘,知识,第二大脑-30-地缘\03-知识\中美博弈总论.md,933,中美博弈总论.md,# 中美博弈总论.md |  | > 中美博弈研究笔记总论。源：`知识库/03-地缘政治/中美博弈/` 93 md。
第二大脑-30-地缘,知识,第二大脑-30-地缘\03-知识\全球治理.md,832,全球治理.md,# 全球治理.md |  | > 全球治理 / 多边机构 / 治理体系。
第二大脑-30-地缘,知识,第二大脑-30-地缘\03-知识\科技战.md,552,科技战.md,# 科技战.md |  | > 科技战（中美博弈中的科技维度）。
第二大脑-30-地缘,知识,第二大脑-30-地缘\03-知识\舆论战.md,682,舆论战.md,# 舆论战.md |  | > 舆论战 / 媒体博弈。
第二大脑-30-地缘,知识,第二大脑-30-地缘\03-知识\资本收割模型.md,695,资本收割模型.md,# 资本收割模型.md |  | > 资本收割模型（001-030 序列）。源：93 篇笔记中约 30% 集中在此主题。
第二大脑-30-地缘,知识,第二大脑-30-地缘\03-知识\金融战.md,654,金融战.md,# 金融战.md |  | > 金融战（中美博弈中的金融维度）。
第二大脑-30-地缘,流程,第二大脑-30-地缘\04-流程\任务生命周期.md,327,任务生命周期.md,# 任务生命周期.md |  | > 本实例任务从 NEW 到 DONE。
第二大脑-30-地缘,流程,第二大脑-30-地缘\04-流程\健康检查.md,325,健康检查流程.md,# 健康检查流程.md |  | > LINT 巡检流程。
第二大脑-30-地缘,流程,第二大脑-30-地缘\04-流程\查询回答.md,347,查询回答流程.md,# 查询回答流程.md |  | > 如何基于本实例回答问题。
第二大脑-30-地缘,流程,第二大脑-30-地缘\04-流程\资料吸收.md,339,资料吸收流程.md,# 资料吸收流程.md |  | > 新资料如何进入本实例。
第二大脑-30-地缘,任务,第二大脑-30-地缘\05-任务\任务-001.md,169,任务-001.md,# 任务-001.md |  | > 动态任务槽位 1。
第二大脑-30-地缘,任务,第二大脑-30-地缘\05-任务\任务-002.md,169,任务-002.md,# 任务-002.md |  | > 动态任务槽位 2。
第二大脑-30-地缘,任务,第二大脑-30-地缘\05-任务\任务-003.md,169,任务-003.md,# 任务-003.md |  | > 动态任务槽位 3。
第二大脑-30-地缘,任务,第二大脑-30-地缘\05-任务\任务-004.md,169,任务-004.md,# 任务-004.md |  | > 动态任务槽位 4。
第二大脑-30-地缘,任务,第二大脑-30-地缘\05-任务\任务-005.md,169,任务-005.md,# 任务-005.md |  | > 动态任务槽位 5。
第二大脑-30-地缘,任务,第二大脑-30-地缘\05-任务\任务-006.md,169,任务-006.md,# 任务-006.md |  | > 动态任务槽位 6。
第二大脑-30-地缘,任务,第二大脑-30-地缘\05-任务\任务总表.md,300,任务总表.md,# 任务总表.md |  | > 本实例所有任务索引。
第二大脑-30-地缘,任务,第二大脑-30-地缘\05-任务\任务模板.md,171,任务模板.md,# 任务模板.md |  | > 写任务时复制。
第二大脑-30-地缘,任务,第二大脑-30-地缘\05-任务\任务队列.md,123,任务队列.md,# 任务队列.md |  | > 当前活跃任务队列。
第二大脑-30-地缘,报告,第二大脑-30-地缘\06-报告\报告-001.md,168,报告-001.md,# 报告-001.md |  | > 动态报告槽位 1。
第二大脑-30-地缘,报告,第二大脑-30-地缘\06-报告\报告-002.md,168,报告-002.md,# 报告-002.md |  | > 动态报告槽位 2。
第二大脑-30-地缘,报告,第二大脑-30-地缘\06-报告\报告-003.md,168,报告-003.md,# 报告-003.md |  | > 动态报告槽位 3。
第二大脑-30-地缘,报告,第二大脑-30-地缘\06-报告\报告-004.md,168,报告-004.md,# 报告-004.md |  | > 动态报告槽位 4。
第二大脑-30-地缘,报告,第二大脑-30-地缘\06-报告\报告模板.md,127,报告模板.md,# 报告模板.md |  | > 写报告时复制。
第二大脑-30-地缘,报告,第二大脑-30-地缘\06-报告\报告索引.md,213,报告索引.md,# 报告索引.md |  | > 本实例所有报告索引。
第二大脑-30-地缘,模板,第二大脑-30-地缘\08-模板\资料来源模板.md,131,资料来源模板.md,# 资料来源模板.md |  | > 源记录模板。
第二大脑-30-地缘,模板,第二大脑-30-地缘\08-模板\页面模板.md,105,页面模板.md,# 页面模板.md |  | > 普通 wiki 页面模板。
第二大脑-30-地缘,meta,第二大脑-30-地缘\AGENTS.md,337,AGENTS.md — 第二大脑-30-地缘 Agent 合同,# AGENTS.md — 第二大脑-30-地缘 Agent 合同 |  | > 本实例 Agent 行为合同。所有 Agent 必读。
第二大脑-30-地缘,meta,第二大脑-30-地缘\README.md,351,README.md — 第二大脑-30-地缘,# README.md — 第二大脑-30-地缘 |  | > 地缘政治实例说明。
第二大脑-30-地缘,meta,第二大脑-30-地缘\日志.md,157,日志.md — 追加式操作日志,# 日志.md — 追加式操作日志 |  | > 每次会话关键动作追加到此处。
第二大脑-30-地缘,meta,第二大脑-30-地缘\索引.md,1305,索引 — 第二大脑-30-地缘,# 索引 — 第二大脑-30-地缘 |  | > 地缘政治实例的总入口。
第二大脑-40-认知,规范,第二大脑-40-认知\00-规范\安全边界.md,279,安全边界.md,# 安全边界.md |  | > 本实例 Agent 禁止操作范围。
第二大脑-40-认知,规范,第二大脑-40-认知\00-规范\结构规范.md,337,结构规范.md,# 结构规范.md |  | > 本实例结构约束来源。
第二大脑-40-认知,规范,第二大脑-40-认知\00-规范\页面规范.md,246,页面规范.md,# 页面规范.md |  | > 本实例页面格式。
第二大脑-40-认知,状态,第二大脑-40-认知\01-状态\已确认决策.md,238,已确认决策.md,# 已确认决策.md |  | > 认知与成长实例的决策摘要。
第二大脑-40-认知,状态,第二大脑-40-认知\01-状态\当前状态.md,487,当前状态.md,# 当前状态.md |  | > 认知与成长实例当前状态。最后更新：2026-06-12。
第二大脑-40-认知,状态,第二大脑-40-认知\01-状态\待确认问题.md,211,待确认问题.md,# 待确认问题.md |  | > 认知与成长实例未决问题。
第二大脑-40-认知,状态,第二大脑-40-认知\01-状态\技术债台账.md,124,技术债台账.md,# 技术债台账.md |  | > 认知与成长实例技术债与遗留。
第二大脑-40-认知,状态,第二大脑-40-认知\01-状态\资料来源.md,389,资料来源.md,# 资料来源.md |  | > 认知与成长实例的源 vault 位置。
第二大脑-40-认知,总览,第二大脑-40-认知\02-总览\主要内容.md,471,主要内容.md,# 主要内容.md |  | > 认知与成长实例核心内容。
第二大脑-40-认知,总览,第二大脑-40-认知\02-总览\术语表.md,602,术语表.md,# 术语表.md |  | > 认知与成长实例统一口径。
第二大脑-40-认知,总览,第二大脑-40-认知\02-总览\来源说明.md,245,来源说明.md,# 来源说明.md |  | > 认知与成长实例源位置。
第二大脑-40-认知,总览,第二大脑-40-认知\02-总览\环境说明.md,260,环境说明.md,# 环境说明.md |  | > 认知与成长实例运行环境。
第二大脑-40-认知,总览,第二大脑-40-认知\02-总览\结构地图.md,428,结构地图.md,# 结构地图.md |  | > 认知与成长实例结构。
第二大脑-40-认知,总览,第二大脑-40-认知\02-总览\项目概览.md,541,项目概览.md,# 项目概览.md |  | > 认知与成长实例概览。
第二大脑-40-认知,总览,第二大脑-40-认知\02-总览\验收门禁.md,161,验收门禁.md,# 验收门禁.md |  | > 认知与成长实例填充完成标准。
第二大脑-40-认知,知识,第二大脑-40-认知\03-知识\人智认知总论.md,499,人智认知总论.md,# 人智认知总论.md |  | > 人智认知系列。源：`知识库/05-认知与成长/01-人智认知系列/` 38 md。
第二大脑-40-认知,知识,第二大脑-40-认知\03-知识\决策框架.md,1094,决策框架.md,# 决策框架.md |  | > 决策方法论。
第二大脑-40-认知,知识,第二大脑-40-认知\03-知识\博弈论.md,867,博弈论.md,# 博弈论.md |  | > 博弈论 / 多人决策。
第二大脑-40-认知,知识,第二大脑-40-认知\03-知识\商业逻辑.md,1141,商业逻辑.md,# 商业逻辑.md |  | > 商业底层逻辑。
第二大脑-40-认知,知识,第二大脑-40-认知\03-知识\学习方法论.md,773,学习方法论.md,# 学习方法论.md |  | > 学习方法论。补充 [[../第二大脑-80-方法论/03-知识/学习方法]]，偏认知视角。
第二大脑-40-认知,知识,第二大脑-40-认知\03-知识\社会规则.md,672,社会规则.md,# 社会规则.md |  | > 社会规则 / 潜规则 / 显规则。
第二大脑-40-认知,知识,第二大脑-40-认知\03-知识\系统思维.md,899,系统思维.md,# 系统思维.md |  | > 系统思维 / 复杂系统。
第二大脑-40-认知,知识,第二大脑-40-认知\03-知识\认知偏差.md,940,认知偏差.md,# 认知偏差.md |  | > 认知偏差清单。常见的思维陷阱。
第二大脑-40-认知,知识,第二大脑-40-认知\03-知识\认知层级.md,835,认知层级.md,# 认知层级.md |  | > 认知层级 / 思维层级。
第二大脑-40-认知,知识,第二大脑-40-认知\03-知识\醒与悟系列.md,595,醒与悟系列.md,# 醒与悟系列.md |  | > 醒与悟系列。源：`知识库/05-认知与成长/02-醒与悟系列/` 9 md。
第二大脑-40-认知,流程,第二大脑-40-认知\04-流程\任务生命周期.md,327,任务生命周期.md,# 任务生命周期.md |  | > 本实例任务从 NEW 到 DONE。
第二大脑-40-认知,流程,第二大脑-40-认知\04-流程\健康检查.md,325,健康检查流程.md,# 健康检查流程.md |  | > LINT 巡检流程。
